date,day_index,active_accounts,usage_hours,support_tickets,release_flag,incident_flag,promo_flag,demand_score
2025-02-19,49,1248,3420.9,79,0,0,0,526.97
2025-02-20,50,1244,3562.3,78,0,0,0,547.84
2025-02-21,51,1239,3545,82,0,0,0,541.63
2025-02-22,52,1238,3440.8,79,0,0,0,533.13
2025-02-23,53,1245,3287.6,85,0,0,0,508.85
2025-02-24,54,1249,3197.2,89,0,0,0,491.14
2025-02-25,55,1251,3265,87,0,0,0,501.7
2025-02-26,56,1256,3438.3,82,0,0,0,526.78
2025-02-27,57,1264,3557.6,83,0,0,0,545.47
2025-02-28,58,1269,3613.8,83,0,0,0,552.85
2025-03-01,59,1280,3599.3,79,0,0,0,550.76
2025-03-02,60,1296,3472.1,84,0,0,0,531.38
2025-03-03,61,1303,3395,93,0,0,0,505.92
2025-03-04,62,1311,3434.8,90,0,0,0,519.24
2025-03-05,63,1309,3558.4,82,0,0,0,555.65
2025-03-06,64,1312,3707.3,82,0,0,0,578.17
2025-03-07,65,1325,3760.3,79,0,0,0,590.28
2025-03-08,66,1331,3729.4,79,0,0,0,575.48
2025-03-09,67,1335,3569,88,0,0,0,547.59
2025-03-10,68,1322,3442.1,90,0,0,0,530.06
2025-03-11,69,1335,3471.6,88,0,0,0,535.41
2025-03-12,70,1331,3656.7,82,0,0,0,567.31
2025-03-13,71,1320,3787.6,79,0,0,0,586.79
2025-03-14,72,1320,3781.1,81,0,0,0,586.18
2025-03-15,73,1315,3714.4,82,0,0,0,569.94
2025-03-16,74,1311,3480.1,88,0,0,0,535.1
2025-03-17,75,1317,3377.8,91,0,0,0,517.35
2025-03-18,76,1314,3394.4,91,0,0,0,517.81
2025-03-19,77,1307,3514.3,84,0,0,0,544.95
2025-03-20,78,1298,3684.4,84,0,0,0,554.3
2025-03-21,79,1304,3702.3,82,0,0,0,560.74
2025-03-22,80,1295,3613.6,84,0,0,0,547.98
2025-03-23,81,1301,3406.2,84,0,0,0,526.56
2025-03-24,82,1296,3299.4,92,0,0,0,492.56
2025-03-25,83,1296,3340.9,90,0,0,0,500.62
2025-03-26,84,1304,3516.5,83,0,0,0,531.83
2025-03-27,85,1308,3591.1,105,0,1,1,533.33
2025-03-28,86,1316,3608.3,107,0,1,1,537.14
2025-03-29,87,1314,3661.6,80,0,0,1,591.02
2025-03-30,88,1321,3523.1,87,0,0,1,559.06
2025-03-31,89,1331,3414.3,93,0,0,1,545.78
2025-04-01,90,1343,3630.4,98,1,0,0,521.11
2025-04-02,91,1345,3789.1,91,1,0,0,556.08
2025-04-03,92,1359,3951.9,91,1,0,0,575.94
2025-04-04,93,1367,4021.1,89,1,0,0,592.63
2025-04-05,94,1375,3783.4,81,0,0,0,585.87
2025-04-06,95,1377,3614.1,87,0,0,0,557.07
2025-04-07,96,1372,3533.3,93,0,0,0,533.48
2025-04-08,97,1388,3632.5,89,0,0,0,545.96
2025-04-09,98,1392,3753.1,83,0,0,0,574.11
2025-04-10,99,1388,3857,81,0,0,0,598.6
2025-04-11,100,1388,3905.7,83,0,0,0,603.69
2025-04-12,101,1390,3781.5,81,0,0,0,583.79
2025-04-13,102,1378,3666.9,85,0,0,0,553.75
2025-04-14,103,1370,3535.5,94,0,0,0,530.56
2025-04-15,104,1373,3567,93,0,0,0,529.12
2025-04-16,105,1368,3698.2,81,0,0,0,564.04
2025-04-17,106,1362,3804.7,82,0,0,0,579.87
2025-04-18,107,1361,3800.6,84,0,0,0,581.41
2025-04-19,108,1364,3683.4,84,0,0,0,564.91
2025-04-20,109,1356,3571.6,86,0,0,0,542.34
2025-04-21,110,1349,3422.4,93,0,0,0,507.25
2025-04-22,111,1347,3453,89,0,0,0,518.51
2025-04-23,112,1354,3601,82,0,0,0,546.74
2025-04-24,113,1351,3779.9,85,0,0,0,566.46
2025-04-25,114,1364,3781.1,83,0,0,0,576.63
2025-04-26,115,1354,3741.3,85,0,0,0,562.36
2025-04-27,116,1367,3594.3,88,0,0,0,534.72
2025-04-28,117,1379,3489.1,93,0,0,0,515.59
2025-04-29,118,1388,3518.8,94,0,0,0,527.61
2025-04-30,119,1387,3738.2,86,0,0,0,562.2
2025-05-01,120,1397,3900.9,86,0,0,0,587.26
2025-05-02,121,1412,3916,85,0,0,0,593.24
2025-05-03,122,1406,3828.8,85,0,0,0,582.26
2025-05-04,123,1423,3686.4,91,0,0,0,561.68
2025-05-05,124,1424,3641.5,95,0,0,0,539.99
2025-05-06,125,1428,3672.9,93,0,0,0,549.28
2025-05-07,126,1426,3811.5,83,0,0,0,582.37
2025-05-08,127,1439,4006.5,84,0,0,0,604.29
2025-05-09,128,1440,4053.8,82,0,0,0,618.78
2025-05-10,129,1430,3913.6,85,0,0,0,592.28
2025-05-11,130,1437,3780.3,91,0,0,0,567.56
2025-05-12,131,1434,3680.6,96,0,0,0,541.67
2025-05-13,132,1433,3711.8,91,0,0,0,560.23
2025-05-14,133,1422,3829.6,82,0,0,0,585.75
2025-05-15,134,1424,3914.9,87,0,0,0,587.12
2025-05-16,135,1430,4101.8,94,1,0,0,588.89
2025-05-17,136,1428,3998.7,95,1,0,0,571.6
2025-05-18,137,1417,3785.5,98,1,0,0,546.24
2025-05-19,138,1407,3728.2,101,1,0,0,525.76
2025-05-20,139,1413,3622.1,93,0,0,0,534.21
2025-05-21,140,1401,3719.1,85,0,0,0,561.28
2025-05-22,141,1413,3857.4,86,0,0,0,573.85
2025-05-23,142,1404,3911.5,86,0,0,0,578.84
2025-05-24,143,1409,3824,86,0,0,0,571.19
2025-05-25,144,1414,3667.7,91,0,0,0,546.3
2025-05-26,145,1416,3549.4,94,0,0,1,553.97
2025-05-27,146,1421,3589.8,93,0,0,1,558.41
2025-05-28,147,1435,3768.5,87,0,0,1,596.33
2025-05-29,148,1441,3902.7,86,0,0,1,618.38
2025-05-30,149,1448,3993,84,0,0,1,627.82
2025-05-31,150,1447,3947.6,85,0,0,0,587.61
2025-06-01,151,1462,3816.8,91,0,0,0,571.29
2025-06-02,152,1469,3702.9,93,0,0,0,552.2
2025-06-03,153,1468,3770,94,0,0,0,563.51
2025-06-04,154,1483,3917.7,83,0,0,0,596.61
2025-06-05,155,1479,4068.1,85,0,0,0,613.03
2025-06-06,156,1485,4092.5,86,0,0,0,623.92
2025-06-07,157,1492,4051.7,88,0,0,0,603.59
2025-06-08,158,1500,3814.9,112,0,1,0,531.49
2025-06-09,159,1490,3702.6,119,0,1,0,504.73
2025-06-10,160,1485,3833.8,93,0,0,0,568.26
2025-06-11,161,1486,3961.1,86,0,0,0,593.58
2025-06-12,162,1495,4097.4,88,0,0,0,615.29
2025-06-13,163,1479,4101.7,86,0,0,0,619.24
2025-06-14,164,1490,4002.1,85,0,0,0,604.14
2025-06-15,165,1478,3791.9,91,0,0,0,561.74
2025-06-16,166,1473,3737.2,96,0,0,0,540.59
2025-06-17,167,1463,3700.2,92,0,0,0,553.74
2025-06-18,168,1474,3871.2,89,0,0,0,575.85
2025-06-19,169,1460,3978.7,86,0,0,0,595.55
2025-06-20,170,1459,4026.4,85,0,0,0,601.51
2025-06-21,171,1461,3906,86,0,0,0,577.04
2025-06-22,172,1459,3737.8,92,0,0,0,550.08
2025-06-23,173,1468,3626.9,95,0,0,0,532.93
2025-06-24,174,1465,3702,96,0,0,0,537.74
2025-06-25,175,1466,3875,89,0,0,0,569.23
2025-06-26,176,1483,4009.8,89,0,0,0,597.8
2025-06-27,177,1477,4033.5,85,0,0,0,604.01
2025-06-28,178,1496,3981.7,87,0,0,0,597.03
2025-06-29,179,1488,3850.8,94,0,0,0,560.64
2025-06-30,180,1504,3889,103,1,0,0,546.08
2025-07-01,181,1520,3935.9,103,1,0,0,556.15
2025-07-02,182,1527,4168.5,93,1,0,0,593.66
2025-07-03,183,1532,4288.7,93,1,0,0,618.78
2025-07-04,184,1524,4234.5,87,0,0,0,626.13
2025-07-05,185,1532,4151,89,0,0,0,611.92
2025-07-06,186,1548,3965.9,91,0,0,0,591.64
2025-07-07,187,1552,3883.9,97,0,0,0,574.35
2025-07-08,188,1540,3902,98,0,0,0,573.33
2025-07-09,189,1550,4057.2,86,0,0,0,613.55
2025-07-10,190,1545,4172.4,89,0,0,0,621.58
2025-07-11,191,1543,4206.5,89,0,0,0,628.38
2025-07-12,192,1533,4117.4,89,0,0,0,615.28
2025-07-13,193,1538,3983.8,94,0,0,0,579.05
2025-07-14,194,1542,3864.4,100,0,0,0,562.31
2025-07-15,195,1529,3857.5,94,0,0,0,570.55
2025-07-16,196,1523,3955.9,88,0,0,0,587.09
2025-07-17,197,1515,4125.6,87,0,0,0,605.07
2025-07-18,198,1528,4155.4,90,0,0,0,605.31
2025-07-19,199,1519,3990.6,88,0,0,0,595.32
2025-07-20,200,1520,3877.3,93,0,0,0,568.86
2025-07-21,201,1519,3780.1,97,0,0,0,546.98
2025-07-22,202,1513,3776.8,93,0,0,0,555.53
2025-07-23,203,1510,3960.1,87,0,0,0,586.36
2025-07-24,204,1518,4113.6,90,0,0,0,603.17
2025-07-25,205,1532,4096.6,87,0,0,1,640.08
2025-07-26,206,1535,4017.8,90,0,0,1,624.68
2025-07-27,207,1532,3932.1,95,0,0,1,600.06
2025-07-28,208,1547,3832,100,0,0,1,585.84
2025-07-29,209,1549,3872,98,0,0,1,595
2025-07-30,210,1561,4036.7,87,0,0,0,602.29
2025-07-31,211,1568,4205.1,88,0,0,0,622.17
2025-08-01,212,1570,4263.8,91,0,0,0,632.82
2025-08-02,213,1586,4176.8,91,0,0,0,615.68
2025-08-03,214,1595,4074.2,92,0,0,0,604.65
2025-08-04,215,1591,3996.8,100,0,0,0,578.08
2025-08-05,216,1603,4055.8,97,0,0,0,587.75
2025-08-06,217,1604,4201.2,87,0,0,0,624.22
2025-08-07,218,1594,4324.4,88,0,0,0,644.12
2025-08-08,219,1609,4330,88,0,0,0,648.96
2025-08-09,220,1602,4276.4,91,0,0,0,627.94
2025-08-10,221,1593,4070.6,92,0,0,0,606.13
2025-08-11,222,1599,3946.4,99,0,0,0,573.3
2025-08-12,223,1594,4018.5,99,0,0,0,585.82
2025-08-13,224,1592,4117.3,87,0,0,0,608.74
2025-08-14,225,1589,4403.1,99,1,0,0,623.87
2025-08-15,226,1574,4417.4,100,1,0,0,622.89
2025-08-16,227,1572,4293.1,98,1,0,0,604.2
2025-08-17,228,1566,4091.9,104,1,0,0,575.16
2025-08-18,229,1578,3879.2,101,0,0,0,558.63
2025-08-19,230,1575,3933.8,96,0,0,0,565.58
2025-08-20,231,1576,3947.8,114,0,1,0,540.03
2025-08-21,232,1574,4058.7,112,0,1,0,560.09
2025-08-22,233,1575,4233.9,89,0,0,0,621.31
2025-08-23,234,1580,4101.3,88,0,0,0,607.98
2025-08-24,235,1582,4008,94,0,0,0,582.27
2025-08-25,236,1593,3878.7,98,0,0,0,564.71
2025-08-26,237,1592,3943.7,96,0,0,0,570.6
2025-08-27,238,1596,4115.9,88,0,0,0,606.86
2025-08-28,239,1600,4248.9,88,0,0,0,632.11
