ds,y
2024-06-21,686.43
2024-06-22,655.63
2024-06-23,663.4
2024-06-24,691.02
2024-06-25,728.53
2024-06-26,730.64
2024-06-27,718.24
2024-06-28,687.57
2024-06-29,671.9
2024-06-30,668.53
2024-07-01,690.5
2024-07-02,725.64
2024-07-03,729.0
2024-07-04,718.45
2024-07-05,673.3
2024-07-06,648.55
2024-07-07,653.45
2024-07-08,684.2
2024-07-09,710.2
2024-07-10,700.76
2024-07-11,686.84
2024-07-12,647.44
2024-07-13,635.98
2024-07-14,648.35
2024-07-15,667.2
2024-07-16,688.1
2024-07-17,688.68
2024-07-18,679.36
2024-07-19,659.51
2024-07-20,657.8
2024-07-21,659.29
2024-07-22,674.69
2024-07-23,698.24
2024-07-24,714.6
2024-07-25,705.6
2024-07-26,679.43
2024-07-27,674.47
2024-07-28,673.35
2024-07-29,692.43
2024-07-30,729.36
2024-07-31,716.89
2024-08-01,706.0
2024-08-02,672.18
2024-08-03,663.43
2024-08-04,652.4
2024-08-05,670.44
2024-08-06,698.22
2024-08-07,707.54
2024-08-08,685.02
2024-08-09,639.98
2024-08-10,609.04
2024-08-11,628.23
2024-08-12,648.93
2024-08-13,664.91
2024-08-14,663.46
2024-08-15,667.87
2024-08-16,635.3
2024-08-17,632.93
2024-08-18,626.18
2024-08-19,640.54
2024-08-20,684.56
2024-08-21,689.51
2024-08-22,679.01
2024-08-23,655.75
2024-08-24,637.13
2024-08-25,656.55
2024-08-26,672.71
2024-08-27,697.88
2024-08-28,716.56
2024-08-29,692.85
2024-08-30,655.72
2024-08-31,640.53
2024-09-01,650.15
2024-09-02,662.03
2024-09-03,676.67
2024-09-04,692.78
2024-09-05,668.71
2024-09-06,632.95
2024-09-07,618.29
2024-09-08,611.96
2024-09-09,637.02
2024-09-10,654.51
2024-09-11,658.97
2024-09-12,635.14
2024-09-13,631.1
2024-09-14,604.99
2024-09-15,632.17
2024-09-16,628.51
2024-09-17,675.22
2024-09-18,667.37
2024-09-19,673.07
2024-09-20,632.18
2024-09-21,625.96
2024-09-22,636.76
2024-09-23,665.37
2024-09-24,675.91
2024-09-25,709.35
2024-09-26,679.2
2024-09-27,645.14
2024-09-28,637.52
2024-09-29,640.45
2024-09-30,658.45
2024-10-01,675.92
2024-10-02,695.17
2024-10-03,659.72
2024-10-04,636.78
2024-10-05,622.38
2024-10-06,610.21
2024-10-07,634.03
2024-10-08,655.42
2024-10-09,641.13
2024-10-10,628.71
2024-10-11,606.92
2024-10-12,582.6
2024-10-13,592.6
2024-10-14,636.34
2024-10-15,647.38
2024-10-16,655.16
2024-10-17,646.17
2024-10-18,615.86
2024-10-19,618.16
2024-10-20,613.4
2024-10-21,635.11
2024-10-22,672.46
2024-10-23,690.53
2024-10-24,658.03
2024-10-25,646.43
2024-10-26,617.08
2024-10-27,634.55
2024-10-28,665.21
2024-10-29,676.32
2024-10-30,674.29
2024-10-31,646.77
2024-11-01,633.09
2024-11-02,614.57
2024-11-03,602.55
2024-11-04,621.73
2024-11-05,657.67
2024-11-06,640.47
2024-11-07,628.07
2024-11-08,586.21
2024-11-09,592.78
2024-11-10,582.48
2024-11-11,613.69
2024-11-12,615.76
2024-11-13,646.17
2024-11-14,629.47
2024-11-15,606.34
2024-11-16,595.82
2024-11-17,581.39
2024-11-18,611.02
2024-11-19,644.54
2024-11-20,655.39
2024-11-21,654.03
2024-11-22,612.26
2024-11-23,599.66
2024-11-24,630.16
2024-11-25,625.39
2024-11-26,668.46
2024-11-27,660.98
2024-11-28,640.11
2024-11-29,617.49
2024-11-30,617.02
2024-12-01,602.32
2024-12-02,614.59
2024-12-03,654.91
2024-12-04,634.6
2024-12-05,614.39
2024-12-06,594.27
2024-12-07,579.2
2024-12-08,567.04
2024-12-09,605.27
2024-12-10,615.77
2024-12-11,634.39
2024-12-12,614.31
2024-12-13,573.17
2024-12-14,566.17
2024-12-15,573.48
2024-12-16,594.39
2024-12-17,625.99
2024-12-18,636.96
2024-12-19,633.6
2024-12-20,623.21
2024-12-21,571.93
2024-12-22,598.85
2024-12-23,626.87
2024-12-24,634.72
2024-12-25,661.03
2024-12-26,634.26
2024-12-27,607.16
2024-12-28,592.52
2024-12-29,585.63
2024-12-30,618.74
2024-12-31,641.2
2025-01-01,631.88
2025-01-02,624.66
2025-01-03,590.72
2025-01-04,572.11
2025-01-05,577.04
2025-01-06,599.02
2025-01-07,610.08
2025-01-08,623.61
2025-01-09,594.55
2025-01-10,571.52
2025-01-11,549.54
2025-01-12,573.15
2025-01-13,579.77
2025-01-14,607.09
2025-01-15,622.85
2025-01-16,602.06
2025-01-17,598.04
2025-01-18,573.29
2025-01-19,571.66
2025-01-20,596.97
2025-01-21,620.89
2025-01-22,641.47
2025-01-23,625.63
2025-01-24,605.27
2025-01-25,587.14
2025-01-26,594.6
2025-01-27,612.39
2025-01-28,635.54
2025-01-29,635.44
2025-01-30,608.05
2025-01-31,589.93
2025-02-01,557.06
2025-02-02,569.66
2025-02-03,581.87
2025-02-04,612.4
2025-02-05,615.95
2025-02-06,584.29
2025-02-07,560.66
2025-02-08,547.35
2025-02-09,548.75
2025-02-10,572.83
2025-02-11,585.51
2025-02-12,591.43
2025-02-13,591.67
2025-02-14,569.85
2025-02-15,557.25
2025-02-16,568.62
2025-02-17,600.99
2025-02-18,623.4
2025-02-19,630.17
2025-02-20,610.0
2025-02-21,595.57
2025-02-22,572.77
2025-02-23,581.8
